track_id,source,class,origin,destination,first_t,last_t,first_x,first_y,last_x,last_y,max_motion_ratio,track_points,counted_lines,trajectory_cluster
roi_29,roi_backup,motorcycle,,,6.78,6.99,150.91,270.0,184.03,298.92,0.064,7,,0
roi_30,roi_backup,motorcycle,,,6.78,7.16,1247.32,285.39,1246.41,287.29,0.0,6,,-1
roi_31,roi_backup,motorcycle,,,6.82,7.75,282.12,251.41,255.05,261.83,0.186,15,,-1
roi_32,roi_backup,motorcycle,,,7.03,7.24,165.2,301.91,136.42,301.79,0.051,5,,-1
128,main,motorcycle,,,7.07,7.07,13.35,389.6,13.35,389.6,0.252,1,,-1
129,main,motorcycle,,,7.07,8.17,188.59,331.65,23.41,404.66,0.174,27,,0
roi_33,roi_backup,car,,,7.12,7.83,377.62,199.09,369.08,201.24,0.16,18,,-1
roi_34,roi_backup,motorcycle,,,7.28,7.33,135.5,301.76,121.89,309.19,0.096,3,,-1
131,main,motorcycle,,,7.28,7.28,125.71,315.48,125.71,315.48,0.057,1,,-1
132,main,truck,,,7.28,8.42,400.18,239.2,377.68,244.82,0.14,11,,-1
roi_35,roi_backup,motorcycle,,,7.33,7.45,163.89,281.95,166.52,289.1,0.117,5,,-1
135,main,motorcycle,,,7.37,7.37,105.6,319.92,105.6,319.92,0.093,1,,-1
136,main,motorcycle,,,7.37,7.92,113.62,320.3,15.6,351.73,0.175,14,,0
roi_36,roi_backup,truck,,,7.41,7.41,399.61,239.15,399.61,239.15,0.058,1,,-1
roi_37,roi_backup,motorcycle,,,7.45,7.45,90.36,301.73,90.36,301.73,0.146,1,,-1
roi_38,roi_backup,truck,,,7.45,8.51,472.1,213.41,456.6,212.19,0.15,22,,-1
roi_39,roi_backup,motorcycle,,,7.49,7.62,153.66,283.76,80.51,309.24,0.124,9,,0
141,main,motorcycle,,,7.58,8.8,144.9,285.4,20.66,300.31,0.189,30,,0
roi_40,roi_backup,motorcycle,,,7.62,7.62,147.18,301.8,147.18,301.8,0.039,1,,-1
roi_41,roi_backup,car,,,7.66,8.0,515.85,221.71,512.08,227.53,0.236,9,,-1
146,main,motorcycle,,,7.71,7.71,129.37,288.67,129.37,288.67,0.0,1,,-1
roi_42,roi_backup,motorcycle,,,7.75,7.79,144.4,301.95,144.44,301.93,0.027,2,,-1
147,main,motorcycle,,,7.79,8.67,249.01,261.92,199.22,272.3,0.182,22,,0
roi_43,roi_backup,truck,,,7.83,7.83,554.34,222.65,554.34,222.65,0.003,1,,-1
roi_44,roi_backup,motorcycle,,,7.87,7.96,11.39,323.65,6.91,309.0,0.072,6,,-1
157,main,motorcycle,,,7.92,7.96,6.66,446.89,6.66,446.89,0.414,2,,-1
roi_45,roi_backup,truck,,,8.0,8.17,388.71,242.32,388.22,242.89,0.128,4,,-1
161,main,motorcycle,,,8.0,8.38,1253.2,288.31,1253.54,288.5,0.0,10,,-1
roi_46,roi_backup,car,,,8.04,8.34,467.12,211.06,463.78,212.11,0.14,8,,-1
164,main,car,,,8.04,14.78,510.63,220.47,28.13,506.91,0.604,160,,0
165,main,motorcycle,,,8.08,8.38,94.79,427.66,33.22,482.14,0.316,8,,-1
166,main,motorcycle,,,8.08,8.17,17.16,511.17,23.45,511.55,0.187,3,,-1
167,main,motorcycle,,,8.08,8.08,11.93,399.03,11.93,399.03,0.112,1,,-1
roi_47,roi_backup,motorcycle,,,8.13,8.51,83.35,324.0,25.06,324.0,0.092,8,,0
roi_48,roi_backup,truck,,,8.21,8.21,551.96,252.54,551.96,252.54,0.02,1,,-1
roi_49,roi_backup,truck,,,8.29,8.29,385.6,243.66,385.6,243.66,0.135,1,,-1
171,main,car,,,8.38,19.07,459.66,211.8,11.26,381.15,0.447,237,,0
roi_50,roi_backup,motorcycle,,,8.42,8.76,249.39,302.0,210.31,286.89,0.128,5,,-1
roi_51,roi_backup,car,,,8.55,10.15,478.66,194.89,477.86,210.15,0.282,33,,-1
roi_52,roi_backup,truck,,,8.67,8.72,551.93,253.77,526.64,242.47,0.262,2,,-1
roi_53,roi_backup,truck,,,8.72,8.72,376.5,245.89,376.5,245.89,0.157,1,,-1
roi_54,roi_backup,motorcycle,,,8.72,8.88,194.37,272.72,195.85,304.36,0.106,10,,-1
roi_55,roi_backup,motorcycle,,,8.84,9.09,157.79,276.82,159.12,279.09,0.155,4,,-1
184,main,car,,,8.88,8.88,196.54,285.0,196.54,285.0,0.101,1,,-1
roi_56,roi_backup,motorcycle,,,8.93,8.93,14.74,300.71,14.74,300.71,0.0,1,,-1
roi_57,roi_backup,truck,,,8.93,9.85,458.31,214.39,470.04,241.88,0.318,30,,-1
roi_58,roi_backup,bus,,,9.05,9.89,1014.03,177.51,1014.34,177.8,0.0,17,,-1
190,main,truck,,,9.31,9.35,485.05,233.9,484.99,234.84,0.251,2,,-1
roi_59,roi_backup,car,,,9.35,9.52,937.59,175.78,953.25,166.61,0.0,4,,-1
roi_60,roi_backup,car,,,9.39,9.47,431.24,227.4,431.23,227.4,0.077,3,,-1
roi_61,roi_backup,car,,,9.52,9.73,374.7,225.98,372.04,226.55,0.167,2,,-1
roi_62,roi_backup,car,,,9.68,9.73,986.61,147.75,986.59,147.74,0.02,2,,-1
roi_63,roi_backup,truck,,,9.68,9.77,552.36,252.54,551.93,252.31,0.04,2,,-1
196,main,car,,,9.77,77.31,717.1,718.37,16.45,387.63,0.474,1603,,-1
197,main,car,,,9.77,79.28,1178.91,719.49,53.17,359.6,0.653,1651,C_near_approach,1
199,main,truck,,,9.89,9.89,468.31,242.68,468.31,242.68,0.306,1,,-1
200,main,motorcycle,,,9.89,10.02,97.96,320.33,84.79,325.04,0.154,4,,-1
roi_64,roi_backup,motorcycle,,,10.06,10.11,62.49,301.78,62.6,301.82,0.191,2,,-1
202,main,truck,,,10.11,10.32,462.91,245.19,456.08,249.65,0.362,6,,-1
roi_65,roi_backup,truck,,,10.15,11.45,551.93,252.17,554.32,243.6,0.126,27,,-1
205,main,car,,,10.23,10.65,357.94,232.16,346.43,233.73,0.179,11,,-1
206,main,car,,,10.23,13.85,475.12,210.19,396.89,230.55,0.21,87,,0
roi_66,roi_backup,truck,,,10.36,10.48,451.83,251.22,449.08,251.97,0.418,4,,-1
roi_67,roi_backup,car,,,10.36,10.36,451.29,251.44,451.29,251.44,0.38,1,,-1
roi_68,roi_backup,car,,,10.44,10.44,16.13,323.8,16.13,323.8,0.223,1,,-1
roi_69,roi_backup,car,,,10.53,10.53,446.92,252.53,446.92,252.53,0.433,1,,-1
209,main,truck,,,10.57,10.61,444.82,253.82,444.56,253.89,0.437,2,,-1
211,main,car,,,10.61,10.74,18.15,298.33,10.9,298.35,0.299,4,,-1
roi_70,roi_backup,truck,,,10.65,11.45,442.5,254.88,411.11,272.3,0.425,26,,0
roi_71,roi_backup,car,,,10.69,11.03,343.3,235.94,336.86,236.95,0.198,5,,-1
roi_72,roi_backup,car,,,10.69,10.74,542.31,165.39,542.4,165.39,0.0,2,,-1
213,main,car,,,10.82,10.91,975.9,168.39,975.92,168.26,0.0,3,,-1
216,main,car,,,10.95,15.83,542.34,166.0,542.18,165.63,0.0,86,,-1
217,main,car,,,10.99,11.03,430.88,261.72,429.48,262.56,0.402,2,,-1
roi_73,roi_backup,car,,,11.07,11.12,425.39,264.98,425.39,264.97,0.408,2,,-1
218,main,truck,,,11.07,16.21,310.65,268.86,24.54,385.76,0.385,114,,0
roi_74,roi_backup,truck,,,11.2,11.79,1014.11,178.05,1014.3,177.4,0.0,12,,-1
roi_75,roi_backup,car,,,11.2,11.24,519.56,224.94,520.64,224.94,0.13,2,,-1
roi_76,roi_backup,car,,,11.24,11.83,274.71,302.0,203.43,323.86,0.574,10,,0
219,main,car,,,11.28,17.05,518.49,224.7,46.39,613.87,0.735,130,,0
roi_77,roi_backup,car,,,11.37,11.54,417.78,220.94,416.2,221.5,0.249,5,,-1
220,main,car,,,11.49,11.54,704.66,715.44,704.62,715.62,0.381,2,,-1
221,main,truck,,,11.49,11.54,407.74,273.72,406.9,274.11,0.367,2,,-1
roi_78,roi_backup,truck,,,11.58,12.63,401.72,276.82,337.28,302.0,0.464,22,,0
roi_79,roi_backup,truck,,,11.58,11.62,320.54,274.35,320.1,274.25,0.142,2,,-1
roi_80,roi_backup,car,,,11.66,12.17,515.84,224.81,505.94,229.65,0.156,13,,-1
roi_81,roi_backup,car,,,11.66,11.75,409.66,226.27,409.24,227.21,0.218,3,,-1
roi_82,roi_backup,truck,,,11.79,11.83,510.69,229.95,510.7,229.94,0.082,2,,-1
roi_83,roi_backup,car,,,11.79,12.38,960.46,145.84,956.08,145.7,0.152,15,,-1
228,main,car,,,11.92,20.88,1269.52,410.93,973.63,170.51,0.82,213,,0
roi_84,roi_backup,car,,,11.96,12.04,377.46,197.84,377.87,198.08,0.015,3,,-1
roi_85,roi_backup,truck,,,11.96,12.67,552.59,252.14,552.09,252.6,0.238,15,,-1
roi_86,roi_backup,truck,,,12.0,12.72,451.92,218.21,495.96,238.78,0.263,22,,0
roi_87,roi_backup,truck,,,12.0,12.04,1260.22,401.61,1260.22,401.61,0.7,2,,-1
231,main,truck,,,12.25,12.34,272.53,285.54,271.62,286.38,0.164,3,,-1
roi_88,roi_backup,car,,,12.29,12.38,1242.17,324.0,1240.5,324.0,0.269,3,,-1
roi_89,roi_backup,truck,,,12.29,12.51,394.49,238.32,406.92,233.8,0.167,7,,-1
roi_90,roi_backup,car,,,12.29,12.34,269.49,286.7,269.51,286.69,0.152,2,,-1
roi_91,roi_backup,car,,,12.34,12.34,495.5,235.46,495.5,235.46,0.091,1,,-1
roi_92,roi_backup,truck,,,12.51,12.97,443.09,221.97,478.66,245.13,0.274,12,,0
234,main,truck,,,12.55,12.59,389.56,242.04,388.84,242.15,0.062,2,,-1
roi_93,roi_backup,truck,,,12.63,12.67,388.44,243.2,387.03,243.07,0.066,2,,-1
roi_94,roi_backup,car,,,12.63,12.63,388.59,241.8,388.59,241.8,0.057,1,,-1
roi_95,roi_backup,car,,,12.67,12.67,271.79,250.86,271.79,250.86,0.218,1,,-1
roi_96,roi_backup,car,,,12.72,13.64,217.04,289.7,224.64,276.26,0.493,18,,-1
236,main,truck,,,12.72,12.76,384.78,242.74,384.58,242.73,0.062,2,,-1
roi_97,roi_backup,truck,,,12.76,17.77,1209.5,370.3,999.06,213.19,0.656,91,,0
238,main,truck,,,12.76,12.76,495.77,242.58,495.77,242.58,0.186,1,,-1
roi_98,roi_backup,truck,,,12.8,13.18,382.54,242.54,471.53,249.31,0.259,14,,0
roi_99,roi_backup,truck,,,12.93,14.19,1014.54,177.44,1014.15,177.73,0.0,22,,-1
roi_100,roi_backup,car,,,13.01,13.01,471.58,246.87,471.58,246.87,0.138,1,,-1
roi_101,roi_backup,truck,,,13.01,13.68,552.73,250.49,552.53,251.38,0.015,5,,-1
roi_102,roi_backup,bus,,,13.05,13.22,1181.96,345.97,1176.69,342.94,0.563,3,,-1
roi_103,roi_backup,truck,,,13.14,13.14,372.47,246.35,372.47,246.35,0.063,1,,-1
241,main,truck,,,13.18,13.22,372.45,245.75,371.96,246.05,0.065,2,,-1
roi_104,roi_backup,car,,,13.22,15.71,461.6,251.4,281.88,323.68,0.465,50,,0
roi_105,roi_backup,truck,,,13.26,14.11,369.14,247.8,343.69,255.38,0.08,21,,-1
roi_106,roi_backup,car,,,13.26,13.31,180.08,298.12,180.09,298.12,0.158,2,,-1
roi_107,roi_backup,car,,,13.39,13.39,941.22,144.34,941.22,144.34,0.0,1,,-1
roi_108,roi_backup,car,,,13.43,13.68,531.79,218.36,532.03,218.32,0.158,2,,-1
roi_109,roi_backup,car,,,13.68,13.94,204.81,323.83,176.78,323.58,0.723,7,,-1
244,main,car,,,13.73,31.45,1273.48,417.31,991.35,165.1,0.654,414,,0
roi_110,roi_backup,motorcycle,,,13.85,13.85,1180.43,287.52,1180.43,287.52,0.203,1,,-1
248,main,car,,,14.02,14.86,520.27,224.2,495.41,233.89,0.049,21,,-1
roi_111,roi_backup,car,,,14.06,15.33,180.51,258.11,58.49,291.3,0.575,15,B_left_exit,0
roi_112,roi_backup,car,,,14.11,14.69,1251.5,324.0,1243.9,340.81,0.707,8,,-1
roi_113,roi_backup,car,,,14.11,14.69,382.23,222.5,376.32,203.2,0.211,14,,-1
249,main,truck,,,14.15,14.27,340.78,255.47,337.02,257.97,0.058,4,,-1
roi_114,roi_backup,truck,,,14.19,14.65,555.36,222.32,552.09,251.47,0.003,7,,-1
250,main,truck,,,14.23,24.72,1013.15,178.03,1014.04,179.31,0.069,181,,-1
roi_115,roi_backup,truck,,,14.27,15.54,1231.98,400.11,1119.68,311.06,0.788,34,,0
roi_116,roi_backup,truck,,,14.32,14.4,331.89,259.03,330.56,259.81,0.065,3,,-1
251,main,car,,,14.44,14.48,328.88,261.14,327.44,261.37,0.075,2,,-1
roi_117,roi_backup,truck,,,14.53,14.74,343.57,262.0,318.09,265.48,0.198,7,,-1
roi_118,roi_backup,bus,,,14.65,14.65,1208.44,364.66,1208.44,364.66,0.33,1,,-1
roi_119,roi_backup,car,,,14.69,14.69,975.29,174.35,975.29,174.35,0.0,1,,-1
roi_120,roi_backup,car,,,14.74,14.86,1180.73,271.01,1180.49,268.17,0.029,4,,-1
252,main,truck,,,14.78,14.78,304.7,266.46,304.7,266.46,0.051,1,,-1
roi_121,roi_backup,truck,,,14.82,15.37,306.71,267.65,282.56,275.3,0.247,17,,-1
257,main,car,,,14.86,20.29,502.7,236.08,41.4,636.11,0.491,130,,0
259,main,car,,,14.95,15.24,973.8,168.42,974.46,168.49,0.0,8,,-1
roi_122,roi_backup,bus,,,15.24,15.62,1029.16,251.65,1021.83,243.78,0.688,8,,-1
roi_123,roi_backup,bus,,,15.33,15.33,1160.12,317.28,1160.12,317.28,0.591,1,,-1
roi_124,roi_backup,truck,,,15.33,15.49,207.98,323.58,197.77,323.64,0.081,3,,-1
roi_125,roi_backup,truck,,,15.33,17.56,550.45,250.26,534.16,272.74,0.046,44,,-1
roi_126,roi_backup,truck,,,15.37,15.41,483.28,242.51,483.02,242.52,0.096,2,,-1
roi_127,roi_backup,car,,,15.37,15.66,1179.22,277.47,1181.89,272.27,0.237,2,,-1
roi_128,roi_backup,truck,,,15.41,15.62,1014.97,178.25,1014.84,178.2,0.0,6,,-1
261,main,truck,,,15.41,15.41,278.03,277.36,278.03,277.36,0.235,1,,-1
roi_129,roi_backup,car,,,15.45,15.62,345.44,224.38,342.64,227.87,0.375,5,,-1
roi_130,roi_backup,truck,,,15.54,15.54,273.58,278.98,273.58,278.98,0.326,1,,-1
264,main,car,,,15.54,17.14,1258.96,559.71,1104.97,371.18,0.604,33,,-1
265,main,car,,,15.62,16.21,304.09,359.32,211.69,432.72,0.522,15,,0
roi_131,roi_backup,car,,,15.66,15.71,1018.68,241.84,1018.65,241.87,0.506,2,,-1
roi_132,roi_backup,car,,,15.66,15.79,1256.56,416.21,1245.69,416.02,0.482,4,,-1
roi_133,roi_backup,car,,,15.66,15.71,266.38,283.3,266.53,283.3,0.45,2,,-1
roi_134,roi_backup,truck,,,15.71,15.71,266.61,283.0,266.61,283.0,0.438,1,,-1
266,main,car,,,15.71,22.44,336.54,231.96,29.08,311.44,0.411,134,,0
roi_135,roi_backup,truck,,,15.79,15.87,467.35,249.6,465.98,250.47,0.132,3,,-1
roi_136,roi_backup,motorcycle,,,15.79,15.83,1187.45,265.43,1187.24,265.42,0.0,2,,-1
268,main,car,,,15.79,15.83,1252.89,575.97,1252.32,575.97,0.452,2,,-1
roi_137,roi_backup,car,,,15.87,15.96,257.27,256.42,255.76,259.99,0.165,3,,-1
roi_138,roi_backup,bus,,,15.87,16.88,1017.04,238.48,1012.56,227.77,0.653,16,,-1
roi_139,roi_backup,car,,,15.87,15.96,533.45,216.57,533.09,217.26,0.065,3,,-1
roi_140,roi_backup,truck,,,15.87,16.04,988.48,148.21,988.59,148.2,0.0,5,,-1
roi_141,roi_backup,car,,,15.92,16.08,1233.02,414.59,1223.58,415.34,0.915,6,,-1
271,main,car,,,15.92,31.33,1221.08,584.83,933.74,168.24,0.532,344,,0
roi_142,roi_backup,truck,,,16.0,16.8,1072.88,285.32,1038.29,258.91,0.576,20,,0
roi_143,roi_backup,car,,,16.0,16.08,318.19,247.37,330.04,247.03,0.218,5,,-1
roi_144,roi_backup,car,,,16.0,25.05,1024.63,414.66,975.64,414.58,0.818,204,,0
273,main,car,,,16.0,81.94,731.62,718.57,13.55,335.04,0.408,1563,C_near_approach,-1
roi_145,roi_backup,truck,,,16.04,16.67,252.91,256.78,211.02,301.98,0.181,15,,0
roi_146,roi_backup,car,,,16.04,16.34,1160.55,386.04,1194.53,414.29,0.602,5,,-1
roi_147,roi_backup,truck,,,16.08,16.08,1213.59,414.87,1213.59,414.87,0.641,1,,-1
roi_148,roi_backup,car,,,16.13,16.17,243.95,263.1,243.86,263.13,0.182,2,,-1
roi_149,roi_backup,truck,,,16.13,16.13,314.3,252.58,314.3,252.58,0.244,1,,-1
roi_150,roi_backup,car,,,16.17,16.29,313.69,252.6,307.79,255.19,0.263,4,,-1
roi_151,roi_backup,car,,,16.21,16.29,216.68,300.96,228.78,278.37,0.312,3,,-1
roi_152,roi_backup,truck,,,16.25,16.42,196.2,322.33,171.52,323.33,0.457,5,,-1
roi_153,roi_backup,truck,,,16.25,16.25,449.34,259.48,449.34,259.48,0.186,1,,-1
roi_154,roi_backup,truck,,,16.34,16.34,304.24,255.74,304.24,255.74,0.252,1,,-1
roi_155,roi_backup,car,,,16.34,16.67,521.68,217.87,514.41,223.24,0.05,9,,-1
roi_156,roi_backup,car,,,16.34,16.42,341.51,246.87,311.71,253.63,0.23,3,,-1
279,main,car,,,16.42,17.05,669.82,717.51,689.93,718.26,0.048,16,,-1
roi_157,roi_backup,truck,,,16.46,16.55,293.32,257.64,295.96,258.15,0.289,3,,-1
roi_158,roi_backup,car,,,16.46,16.84,329.74,250.11,271.76,265.56,0.356,10,,0
roi_159,roi_backup,truck,,,16.67,16.97,197.06,238.94,195.87,240.16,0.024,7,,-1
290,main,truck,,,16.72,16.84,513.78,225.41,512.15,225.43,0.011,4,,-1
291,main,car,,,16.72,18.48,513.48,225.19,457.94,256.53,0.082,42,,0
292,main,truck,,,16.72,16.72,207.86,304.81,207.86,304.81,0.147,1,,-1
roi_160,roi_backup,truck,,,16.76,17.64,204.75,302.0,126.52,324.0,0.176,21,,0
roi_161,roi_backup,car,,,16.76,16.76,204.65,305.81,204.65,305.81,0.136,1,,-1
roi_162,roi_backup,car,,,16.8,16.8,1138.74,323.91,1138.74,323.91,0.688,1,,-1
roi_163,roi_backup,car,,,16.88,17.09,509.23,226.44,481.49,252.95,0.0,8,,0
roi_164,roi_backup,truck,,,16.88,16.88,1166.03,413.51,1166.03,413.51,0.517,1,,-1
roi_165,roi_backup,truck,,,16.88,17.77,416.67,277.79,379.88,301.0,0.203,8,,0
roi_166,roi_backup,car,,,16.93,16.93,506.52,227.35,506.52,227.35,0.015,1,,-1
roi_167,roi_backup,car,,,16.93,16.97,304.64,258.28,304.68,258.28,0.054,2,,-1
roi_168,roi_backup,truck,,,16.93,16.97,260.31,267.87,266.39,268.26,0.302,2,,-1
roi_169,roi_backup,truck,,,16.97,16.97,495.89,229.21,495.89,229.21,0.012,1,,-1
294,main,car,,,16.97,17.05,1159.51,448.65,1156.54,443.66,0.513,3,,-1
roi_170,roi_backup,car,,,17.01,17.01,1107.44,323.36,1107.44,323.36,0.591,1,,-1
roi_171,roi_backup,truck,,,17.01,17.47,1105.73,323.58,1105.61,377.74,0.588,9,,-1
296,main,truck,,,17.05,17.73,507.29,232.88,474.05,240.89,0.026,15,,-1
roi_172,roi_backup,car,,,17.09,17.09,1101.37,323.62,1101.37,323.62,0.547,1,,-1
roi_173,roi_backup,truck,,,17.09,17.47,1149.34,413.16,1130.1,400.43,0.605,14,,-1
roi_174,roi_backup,truck,,,17.09,17.09,259.95,271.18,259.95,271.18,0.24,1,,-1
roi_175,roi_backup,car,,,17.14,17.22,471.17,268.51,470.44,265.28,0.0,3,,-1
roi_176,roi_backup,car,,,17.18,17.43,1094.87,323.73,1087.41,323.99,0.462,7,,-1
roi_177,roi_backup,truck,,,17.18,17.22,491.79,232.7,491.87,232.65,0.005,2,,-1
roi_178,roi_backup,car,,,17.18,17.73,239.15,273.55,247.72,272.1,0.355,9,,-1
roi_179,roi_backup,truck,,,17.35,17.43,989.75,148.15,989.88,148.16,0.0,3,,-1
roi_180,roi_backup,car,,,17.47,17.73,213.02,278.55,217.38,280.11,0.41,5,,-1
roi_181,roi_backup,bus,,,17.47,17.77,994.18,205.17,992.96,202.32,0.677,4,,-1
302,main,truck,,,17.52,17.52,1098.48,399.65,1098.48,399.65,0.42,1,,-1
roi_182,roi_backup,truck,,,17.56,17.6,1100.51,395.18,1114.73,391.67,0.509,4,,-1
roi_183,roi_backup,truck,,,17.56,17.56,1083.86,324.0,1083.86,324.0,0.323,1,,-1
roi_184,roi_backup,car,,,17.56,17.81,917.49,141.31,916.69,140.87,0.0,7,,-1
roi_185,roi_backup,car,,,17.6,17.73,1052.96,320.11,1048.29,321.99,0.471,3,,-1
305,main,truck,,,17.64,17.64,1088.01,391.21,1088.01,391.21,0.411,1,,-1
roi_186,roi_backup,car,,,17.68,17.73,1116.13,323.62,1116.14,323.61,0.245,2,,-1
309,main,truck,,,17.68,17.77,991.39,589.65,991.14,589.5,0.143,3,,-1
311,main,truck,,,17.73,17.98,648.57,598.04,649.43,597.91,0.003,7,,-1
roi_187,roi_backup,truck,,,17.77,17.77,1108.95,382.18,1094.03,353.09,0.504,2,,-1
roi_188,roi_backup,truck,,,17.77,17.81,473.77,243.39,470.53,243.93,0.036,2,,-1
roi_189,roi_backup,car,,,17.81,17.85,992.06,201.87,992.05,201.87,0.634,2,,-1
roi_190,roi_backup,truck,,,17.81,22.32,1009.9,229.43,1001.54,175.64,0.681,106,,0
316,main,truck,,,17.81,17.85,1069.51,378.88,1068.99,378.47,0.411,2,,-1
319,main,truck,,,17.85,17.98,468.02,244.34,468.41,245.95,0.061,3,,-1
320,main,car,,,17.85,18.57,916.85,141.04,917.23,140.08,0.0,18,,-1
324,main,truck,,,17.89,17.89,989.46,588.16,989.46,588.16,0.136,1,,-1
325,main,truck,,,17.89,18.06,990.46,201.04,990.19,199.96,0.686,5,,-1
